pollutant,emission_species,split_factor,divisor,inv_unit,emi_unit
VOC,ALD2,0.000402,44.03499,Mg,mol/s
VOC,ALDX,0.000162,39.22808,Mg,mol/s
VOC,BENZENE,0.014613,78.112,Mg,mol/s
VOC,ETH,0.019453,28.053,Mg,mol/s
VOC,ETHA,0.190479,30.069,Mg,mol/s
VOC,ETOH,0.003032,45.8447,Mg,mol/s
VOC,FORM,0.208151,30.026,Mg,mol/s
VOC,IOLE,0.011047,57.09965,Mg,mol/s
VOC,ISOP,0.000007,68.117,Mg,mol/s
VOC,MEOH,0.000028,32.042,Mg,mol/s
VOC,NVOL,0.000003,0.992943,Mg,mol/s
VOC,OLE,0.030709,29.63422,Mg,mol/s
VOC,PAR,0.24268,15.11587,Mg,mol/s
VOC,TERP,0.000012,136.2352,Mg,mol/s
VOC,TOL,0.061197,96.79334,Mg,mol/s
VOC,UNR,0.043292,19.08899,Mg,mol/s
VOC,XYL,0.174734,109.2713,Mg,mol/s
PM25,PAL,5.02E-02,1,Mg,g/s
PM25,PCA,0.034628,1,Mg,g/s
PM25,PCL,0.001152,1,Mg,g/s
PM25,PFE,2.51E-02,1,Mg,g/s
PM25,PH2O,4.00E-05,1,Mg,g/s
PM25,PK,0.004844,1,Mg,g/s
PM25,PMG,4.59E-04,1,Mg,g/s
PM25,PMN,2.48E-04,1,Mg,g/s
PM25,PMOTHR,0.588929,1,Mg,g/s
PM25,PNA,1.16E-04,1,Mg,g/s
PM25,PNCOM,0.043903,1,Mg,g/s
PM25,PNH4,0.003699,1,Mg,g/s
PM25,PNO3,0.006201,1,Mg,g/s
PM25,PSI,0.077444,1,Mg,g/s
PM25,PSO4,0.159122,1,Mg,g/s
PM25,PTI,3.88E-03,1,Mg,g/s
SO2,SO2,1,64,Mg,mol/s
SO2,SULF,0.0218,98,Mg,mol/s
NH3,NH3,1,17,Mg,mol/s
CO,CO,1,28,Mg,mol/s
PMC,PMC,1,1,Mg,g/s
NOx,NO,0.9,30,Mg,mol/s
NOx,NO2,0.092,46,Mg,mol/s
NOx,HONO,0.008,47,Mg,mol/s
OC,POC,1,1,Mg,g/s
