hourly,POWER,INDUSTRY,RESIDENTIAL,TRANSPORTATION,AGRICULTURE,SOLVENT
0,0.032,0.026,0.038,0.017,0.026,0.026
1,0.03,0.007,0.038,0.013,0.019,0.007
2,0.029,0.007,0.03,0.014,0.019,0.007
3,0.028,0.007,0.045,0.015,0.018,0.007
4,0.029,0.007,0.045,0.016,0.019,0.007
5,0.032,0.007,0.038,0.016,0.021,0.007
6,0.035,0.007,0.03,0.029,0.029,0.007
7,0.04,0.029,0.03,0.056,0.033,0.029
8,0.0433,0.045,0.038,0.0599,0.0473,0.045
9,0.0457,0.068,0.038,0.059,0.0576,0.068
10,0.0479,0.068,0.03,0.0594,0.07,0.068
11,0.0495,0.068,0.045,0.0501,0.0885,0.068
12,0.0495,0.068,0.045,0.0501,0.0885,0.068
13,0.0497,0.068,0.038,0.0588,0.0823,0.068
14,0.0501,0.068,0.03,0.06,0.0803,0.068
15,0.05,0.068,0.03,0.062,0.07,0.068
16,0.0497,0.068,0.038,0.0594,0.0597,0.068
17,0.0489,0.066,0.075,0.0574,0.0453,0.066
18,0.0477,0.063,0.075,0.0557,0.0309,0.063
19,0.0473,0.037,0.075,0.049,0.0268,0.037
20,0.0466,0.037,0.075,0.0454,0.0226,0.037
21,0.044,0.037,0.054,0.0417,0.0206,0.037
22,0.0397,0.037,0.018,0.0308,0.0206,0.037
23,0.0352,0.037,0.018,0.0216,0.0206,0.037
